LIFESTAGE,PREMIUM_CUSTOMER,TOT_SALES,N_CUSTOMERS,AVG_SPEND_PER_CUSTOMER,AVG_UNITS_PER_CUSTOMER,AVG_PRICE_PER_UNIT
OLDER FAMILIES,Budget,156863.75,4675,34.01946432444155,9.076772934287574,3.696659986806381
YOUNG SINGLES/COUPLES,Mainstream,147582.2,8088,18.641177213591007,4.575596816976128,3.9879076104875355
RETIREES,Mainstream,145168.95,6479,22.832486631016046,5.925920100660585,3.7810286145488377
YOUNG FAMILIES,Budget,129717.95,4017,32.81506450796863,8.722995193523905,3.7019675857190495
OLDER SINGLES/COUPLES,Budget,127833.6,4929,26.36287894411219,6.781398226438441,3.8244320847689415
OLDER SINGLES/COUPLES,Mainstream,124648.5,4930,25.658398517908605,6.712021407986826,3.766923533573442
OLDER SINGLES/COUPLES,Premium,123531.55,4750,26.38435497650577,6.7691157624946605,3.8419555844142903
RETIREES,Budget,105916.3,4454,24.15423033067275,6.141847206385405,3.871805926462769
OLDER FAMILIES,Mainstream,96413.55,2831,34.58161764705883,9.255380200860833,3.679628220367971
RETIREES,Premium,91296.65,3872,23.949803252885623,6.1033578174186776,3.863230859790437
YOUNG FAMILIES,Mainstream,86338.25,2728,32.15577281191806,8.638361266294227,3.6637641846713316
MIDAGE SINGLES/COUPLES,Mainstream,84734.25,3340,25.692616737416618,6.432080048514251,3.944219558337716
YOUNG FAMILIES,Premium,78571.7,2433,32.76551292743953,8.716013344453712,3.705153068013882
OLDER FAMILIES,Premium,75242.6,2274,33.725952487673695,9.071716718960108,3.6474038624540523
YOUNG SINGLES/COUPLES,Budget,57122.1,3779,15.662763915547025,4.250068549492734,3.5565698162169546
MIDAGE SINGLES/COUPLES,Premium,54443.85,2431,22.981785563528913,6.0785141409877586,3.684397157376937
YOUNG SINGLES/COUPLES,Premium,39052.3,2574,15.746895161290324,4.264112903225806,3.558028144694812
MIDAGE SINGLES/COUPLES,Budget,33345.7,1504,22.622591587516958,6.026458616010855,3.679000304789689
NEW FAMILIES,Budget,20607.45,1112,18.958095676172952,4.821527138914443,3.8435705042148314
NEW FAMILIES,Mainstream,15979.7,849,19.252650602409638,4.891566265060241,3.8478044294359632
NEW FAMILIES,Premium,10760.8,588,18.7144347826087,4.815652173913043,3.800249605078579
